大分類,中分類,小分類,細分類,該当例
,,,,筬(おさ)通工
,,,,筬巻工
,,,,織物綾取工
,,,,織物準備工
,,,,金筬技術士(織機準備調整に従事するもの)
,,,,ガラスクロス整経工(ガラス織布製造)
,,,,管巻工
,,,,差入工(整経業、織物業)
,,,,下拵(ごしらえ)工(織物製造)
,,,,ジャカード織機調整工
,,,,織布整経工
,,,,織機準備工
,,,,織機準備調整工
,,,,シリンダー調節工(織機準備)
,,,,整経工
,,,,整経糊付工
,,,,綜絖(そうこう)工
,,,,タイイングマシン工
,,,,経糸つなぎ作業員
,,,,経糸引込工
,,,,経継ぎ工
,,,,経巻工(織物業)
,,,,ちきり(千切)工
,,,,ちりめん整経工
,,,,ドビー織機調整工
,,,,伸工(タオル製造)
,,,,はた(機)ごしらえ工
,,,,機拵準備工
,,,,へ(経)通工
,,,,目板通し工(織物加工)
,,,,緯糸取工
,,,,ワーパー工
,,,,ワーピング工
,,,織布工,麻織工
,,,,厚司(厚子)織工
,,,,綾織工
,,,,アルパカ織工
,,,,ウィーバー工
,,,,ウーステッド織工
,,,,ウール織布工
,,,,帯地織工
,,,,織工
,,,,織ネーム工
,,,,織フェルト工
,,,,織マーク工
,,,,織物工
,,,,ガーゼ織工
,,,,カーペット織工
,,,,絣(かすり)織工
,,,,葛布(かっぷ)製造工
,,,,金巾織工
,,,,から織工
,,,,ガラス織物工
,,,,ガラスクロス織工
,,,,絹織工
,,,,絹天製造工
,,,,ギャバジン織工
,,,,毛織工
,,,,光輝縁工
,,,,合繊長繊維織物工
,,,,ゴブラン織工
,,,,ゴム入織物織布工
,,,,サージ織物工
,,,,シール織工
,,,,締加工工(大島紬製造)
,,,,紗織工
,,,,ジャカード織機織工
,,,,じゅうたん織工
,,,,朱子織工
,,,,織布運転工
,,,,織布台付工
,,,,織布引取工
,,,,織布見回工
,,,,織機運転工(織布製品製造)
,,,,織機操作工
,,,,製織工
,,,,タイヤコード布製織工
,,,,タオル織工
,,,,畳縁地織工
,,,,ダック製造工
,,,,緞(だん)通工
,,,,ちりめん織布工
,,,,ツイード織工
,,,,テープ織工
,,,,テープリボン織物工
,,,,手織工
,,,,テレンプ製造工
,,,,ドスキン織工
,,,,ドレーパー係(繊維工業)
,,,,緞子(どんす)織工
,,,,ナイロン織物工
,,,,苗育布織工
,,,,ナプキン織工
,,,,西陣織工
,,,,布テープ製造工
,,,,ネーム織布工
,,,,パイル織工
,,,,博多織工
,,,,芭蕉布織工
,,,,機織工
,,,,帆布織工
,,,,ピケ職工
,,,,ビニロン織物工
,,,,平織工
,,,,ビロード織工
,,,,服地織布工
,,,,袋織工
,,,,ブロード織工
,,,,別珍織物工
,,,,ベロアー織工
,,,,帽子地製織工
,,,,包帯製造工
,,,,ホース地織工
,,,,ポーラー織工
,,,,ポプリン織工
,,,,マフラー織工
,,,,見回工(織布製造)
,,,,毛布織工
,,,,モケット製造工
,,,,綟(もじり)職
,,,,木綿織布工
,,,,モロケン製造工
,,,,紋織工
,,,,羅紗(らしゃ)織工
,,,,ラッグ製造工(じゅうたん織工)
,,,,リンネット織工
,,,,レピア運転工
,,,,絽(ろ)織工
,,,精練・漂白工,糸洗浄工
,,,,糸つや出工
,,,,糸練工
,,,,糸糊付工
,,,,糸張工(染色整理業)
,,,,糸干し工
,,,,色抜工(紡織)
,,,,ウエス漂白工
,,,,苛(か)性処理工(繊維漂白)
,,,,綛乾燥工
,,,,カレンダー工(織物精練)
,,,,乾燥工(織物製造)
,,,,キアー精練工
,,,,生地張工(織物精練)
,,,,霧吹工(織物精練)
,,,,サイジング工(繊維工業)
,,,,晒工(糸・織布)
,,,,酸化機工(製糸精練)
,,,,仕上整理加工工(織物精練)
,,,,シルケット工
,,,,白張工
,,,,水洗乾燥機運転工(紡績、織物精練)
,,,,水洗工(紡績、織物製造)
,,,,製糊工(織物精練)
,,,,整理工(染色業)
,,,,精練糸取工
,,,,精練工(紡績、織物製造)
,,,,精練脱水工(紡績、織物製造)
,,,,洗浄機工(紡績、織物製造)
,,,,ソーキング工(紡績、織物精練)
,,,,艶出工(織物精練)
,,,,布洗工(織物精練)
,,,,布張工(織物精練)
,,,,練抜工
,,,,糊入工(織物精練)
,,,,糊調整工(織物精練)
,,,,糊付機運転工(紡績、織物精練)
,,,,糊付工(織物精練)
,,,,糊抜工(織物精練)
,,,,漂白液調整工(紡績、織物製造)
,,,,漂白機運転工(紡績、織物製造)
,,,,漂白工(紡績、織物製造)
,,,,漂白酸処理工(紡績、織物製造)
,,,,漂白仕上工(紡績、織物製造)
,,,,漂白準備係(染色整理業)
,,,,漂白整理工(紡績、織物製造)
,,,,漂白洗浄工(紡績、織物製造)
,,,,漂白脱水工(紡績、織物製造)
,,,,マーセライズ工
,,,,マングル工
,,,,メリヤス漂白工
,,,,綿布光沢仕上工
,,,,湯通し工(織布製造)
,,,,湯のし工(染色整理業)
,,,,ロールカレンダー工(織布つや出し加工)
,,,染色・仕上工,藍染工
,,,,誂(あつらえ)友禅工
,,,,アニリン染工
,,,,糸染色工
,,,,糸染工
,,,,糸目工(手描友禅)
,,,,色揚工(染色)
,,,,色合わせ工(染色業)
,,,,色染工(浸染)
,,,,色糊作り工(染色)
,,,,印金加工工(友禅染色)
,,,,ウインス係
,,,,織物印刷工
,,,,織物染工
,,,,絣結び人
,,,,型置工(紡績、織物製造)
,,,,型捺染工(友禅染色)
,,,,乾燥工(染色)
,,,,機械捺染工
,,,,生地染工
,,,,京染職人
,,,,霧吹染工
,,,,金箔加工工(友禅)
,,,,毛染工
,,,,ゴム糸目工
,,,,紺屋職
,,,,挿し友禅工
,,,,酸化工(染色)
,,,,仕上薬剤調合工(染色)
,,,,CCM(コンピュータカラーマッチング)係員
,,,,下絵書工(手描友禅)
,,,,ジッガー染色工
,,,,絞り染工
,,,,締機工(大島紬製造)
,,,,正紺藍染工
,,,,蒸熱工(染色)
,,,,蒸熱・水洗工(染色)
,,,,シルク印刷工(捺染)
,,,,浸染工
,,,,スクリーン工(染色業)
,,,,スクリーンなっ染工
,,,,染色型置工(紡績、織物製造)
,,,,染色工(糸・織布)
,,,,染色仕上工(紡績、織物製造)
,,,,染色整理工
,,,,染色糊置工
,,,,染料工(繊維)
,,,,染料調合工(繊維)
,,,,染料調色工(繊維)
,,,,染料糊調整工(繊維)
,,,,ソーピング工(染色整理)
,,,,染替工
,,,,染晒職工
,,,,染物職
,,,,地染工(繊維)
,,,,調色工(繊維)
,,,,調染工(繊維)
,,,,手書職人(染色業)
,,,,手捺染工(シルクスクリーン印刷業)
,,,,なっ染工
,,,,ナフトール染色工
,,,,ニット染工
,,,,布染色工
,,,,布捺染工
,,,,糊糸目工
,,,,糊絵職
,,,,糊置工
,,,,はく染工
,,,,幅出し乾燥工(染色)
,,,,引染工
,,,,蕗摺(ふきずり)工
,,,,プリント工(紡績、織物製造)
,,,,ブロック捺染工
,,,,紡織浸染工
,,,,蒸機運転手(染色)
,,,,無地染工
,,,,メリヤス染色工
,,,,綿糸絣絞工
,,,,模様糊画工
,,,,紋染工
,,,,友禅職人
,,,,友禅染工
,,,,ろうけつ染工
,,,,ろう染工
,,,,わた染工
,,,編物工、編立工,編機準備工
,,,,編立工
,,,,編物工
,,,,カーペット編工
,,,,機械レース編工
,,,,疵直し工(ニット製品)
,,,,靴下編み機調整工
,,,,くつ下編工
,,,,靴下編立工
,,,,軍手製造工
,,,,毛糸編工
,,,,毛糸編ネット工
,,,,毛糸手編工
,,,,ゴム編工(メリヤス製造)
,,,,シームレス修理工(ニット製品)
,,,,手工レース工
,,,,すかし編工
,,,,ストッキング製造工
,,,,セーター編物工
,,,,タック製造工(メリヤス製造)
,,,,経編工(メリヤス製造)
,,,,反物補修工(メリヤス地)
,,,,吊編立工(メリヤス製造)
,,,,手編工
,,,,手袋編立工
,,,,トリコット編立工
,,,,ニット生地編立工
,,,,ニット生地修理工
,,,,ニット整経工
,,,,ニット製品編立工
,,,,ニット製品製造工
,,,,ニット経編工
,,,,ニット丸編工
,,,,ニット緯編工
,,,,フレンチレース工
,,,,丸編み機調整工
,,,,ミラニーズ編立工
,,,,メリヤス編立工
,,,,メリヤス編物編立工
,,,,メリヤス糸巻工
,,,,メリヤス機械工
,,,,メリヤス生地編立工
,,,,メリヤス生地修理工
,,,,メリヤスつづり工
,,,,横編工
,,,,ラッシェル編レース工
,,,,ラッセル工
,,,,両面編立工
,,,,レース編工
,,,,レース編準備工
,,,,レース織工
,,,,レース刺しゅう工
,,,,レース修理仕上工
,,,,レース補修工
,,,つな・あみ製造工,麻組編工
,,,,麻綱製造工
,,,,麻ロープ製造工
,,,,網編工(繊維製)
,,,,網編立工(繊維製)
,,,,網加工工
,,,,網仕立工
,,,,網修理工
,,,,あみ製造工
,,,,網大工
,,,,網地製造工(繊維製)
,,,,網結工
,,,,編結工(製網)
,,,,アミラン網工
,,,,エンパイヤチューブ製造工
,,,,帯締組工
,,,,帯ひも組工
,,,,織ひも工
,,,,漁網編工
,,,,漁網仕上工
,,,,漁網修理工(漁師以外)
,,,,漁網鉛付人(漁網製造)
,,,,漁網熱処理工
,,,,管巻工(化繊ロープ製造)
,,,,組ひも編工
,,,,合成繊維製網工
,,,,合成繊維ロープ製造工
,,,,ゴムひも織工
,,,,ゴルフネット製造工
,,,,刺網編工
,,,,真田ひも製造工(繊維製)
,,,,しでひも製造工
,,,,心綱工
,,,,製綱工(繊維製)
,,,,製ちゅう(紐)工
,,,,製縄工(繊維製)
,,,,繊維製ロープ仕上工
,,,,手繰網修理工
,,,,つな製造工
,,,,綱なおし工
,,,,定置網製造工
,,,,手打ひも製造工
,,,,トワイン工
,,,,ナイロン網製造工
,,,,ナイロンロープ工
,,,,なわ製造工(繊維製)
,,,,ネット製作工
,,,,ハンモック製造工
,,,,ひも編工(繊維製)
,,,,ひも製造工
,,,,房ひも製作工
,,,,ヘアネット製造工(ナイロン製品)
,,,,編網機運転工(繊維製)
,,,,麻索工(麻製ロープ製造)
,,,,マニラロープ製造工
,,,,丸打ひも編工
,,,,撚網工(繊維製)
,,,,ラッシェル編網工
,,,,レーヤー工(化繊ロープ製造)
,,,,ロープ製造工(繊維製)
,,,フェルト・不織布製造工,麻フェルト仕上工
,,,,カーペット製造工(ニードルパンチカーペット)
,,,,乾式不織布製造工
,,,,刺子フェルト工
,,,,洗絨(じゅう)工(フェルト)
,,,,特殊不織布製造工
,,,,ニードル工(フェルト製造)
,,,,ハーダー工(フェルト製造)
,,,,フェルト乾燥工
,,,,フェルト工
,,,,フェルト仕上工
,,,,フェルト縮絨工
,,,,フェルト製造工
,,,,フェルト製造補助工
,,,,フェルトプレス工
,,,,フェルト帽製造工
,,,,フェルト縫合工
,,,,不織布製造工
,,,他に分類されない紡織工,揚返工
,,,,糸かけ工(コーン巻)
,,,,糸繰工(紡織)
,,,,糸仕上工
,,,,糸巻工
,,,,エンボス加工工(織布)
,,,,折たたみ工(織物製造)
,,,,織ネーム巻取工
,,,,織物管巻工
,,,,開俵工(綿糸紡績)
,,,,開綿工
,,,,ガス焼工(紡績、織布)
,,,,綛繰工
,,,,かせ取工
,,,,看貫工(生糸製造)
,,,,擬革製造工
,,,,起毛工(織布後処理)
,,,,葛糸製造工
,,,,管巻工(撚糸製造)
,,,,靴下アイロン仕上工
,,,,繰返工(製糸・紡績業)
,,,,ケーク保全工
,,,,毛織物起毛工
,,,,結束工(生糸製造)
,,,,毛羽切工
,,,,原毛洗工
,,,,コップ巻工
,,,,再繰工
,,,,採糸工(生糸製造)
,,,,索緒工(生糸製造)
,,,,煮繭(けん)工
,,,,煮じゅう工
,,,,煮麻工
,,,,じゅうたん仕上加工工
,,,,樹脂仕上工(繊維製造)
,,,,消毒綿製造工
,,,,織布後処理工
,,,,織布毛焼工
,,,,織布仕上工
,,,,織布幅出工
,,,,織布防水加工工
,,,,織布巻取工
,,,,シリコン樹脂加工工(繊維工業)
,,,,シロセット加工工(生地に行うもの)
,,,,スプーラー工(紡糸)
,,,,製糸機械運転工
,,,,製糸工
,,,,製糸前処理工
,,,,整反工
,,,,製綿機運転工
,,,,製綿工
,,,,整毛工(繊維工業)
,,,,整理工(織物業)
,,,,切断工(織物製造)
,,,,接着工(じゅうたん製造)
,,,,洗化炭工
,,,,選綿工
,,,,せん毛工(織布後処理)
,,,,繰糸工(生糸製造)
,,,,脱脂綿製造工
,,,,脱水工(織布後処理)
,,,,玉巻工
,,,,炭化工(毛糸紡績)
,,,,タンプル工(織布加工用乾燥機操作工)
,,,,反物仕上工
,,,,反物巻取工
,,,,トップ保全工
,,,,撚金銀糸製造工
,,,,パッキン製造工(フェルト製)
,,,,パンチング工(レース製造業)
,,,,反毛機工
,,,,平金銀糸製造工
,,,,ビロード差入工
,,,,ピンホルダー工(糸巻工)
,,,,フェルト切断工
,,,,フェルト剪毛工
,,,,布団綿打直し職
,,,,プリーツ加工工(生地に加工するもの)
,,,,古綿打返工
,,,,プレス工(織布仕上)
,,,,フロッキープリント加工工
,,,,紡績仕上工
,,,,紡績パーロック運転工
,,,,紡績前処理工
,,,,ボビン巻工
,,,,巻糸機運転工
,,,,巻糸工
,,,,マジックテープ製造工
,,,,繭選別工(製糸工場)
,,,,真綿製造工
,,,,メリヤス生地仕上工
,,,,モールスキン製造工
,,,,紋型編工
,,,,紋切工(紋織物の裏糸切)
,,,,ヤール掛工
,,,,油布製造工
,,,,緯巻工(織物製造)
,,,,ラッグ工(反毛工)
,,,,ラップ運搬工
,,,,ラミネート工(織物製造)
,,,,リノリウム製造工
,,,,リンター精製工
,,,,レザー製造工(擬革製造)
,,,,ワインダー工(巻糸工)
,,,,綿打替職
,,,,綿打直工
,,,,綿ほかし工
,,,,ワニスクロス製造工
,,衣服・繊維製品製造工,婦人服・子供服仕立職,仮縫工(婦人服)
,,,,子供既製服仕立工
,,,,子供服仕立職
,,,,子供服注文仕立職
,,,,注文婦人子供服仕立職
,,,,ドレスメーカー
,,,,婦人既製服仕立工
,,,,婦人・子供服仕立職
,,,,婦人服仕立職
,,,,婦人服仕立見習
,,,,婦人服注文仕立職
,,,,洋裁工(婦人服・子供服)
,,,,洋裁師(婦人服・子供服仕立)
,,,,洋裁見習
,,,紳士服仕立職,紳士既製服仕立工
,,,,紳士服仮縫工
,,,,紳士服裁縫見習工
,,,,紳士服仕立見習
,,,,紳士服製造工
,,,,紳士服注文仕立職
,,,,ズボン仕立職(紳士服)
,,,,背広仕立職(注文服)
,,,,注文服仕立職(紳士用)
,,,,テーラー
,,,,洋裁師(紳士服仕立)
,,,,洋服工(紳士服)
,,,,洋服裁縫師(紳士服)
,,,,洋服仕立職(紳士服)
,,,,洋服仕立見習(紳士服)
,,,,洋服職(紳士服)
,,,,ワイシャツ裁縫仕立職(一貫して仕立てる者)
,,,和服仕立職,厚司仕立職
,,,,帯仕立職
,,,,肩掛仕立職
,,,,柔道衣縫製工
,,,,洗たく裁縫師
,,,,男子和服仕立職
,,,,長着仕立職
,,,,縫子(和服)
,,,,能衣しょう仕立職
,,,,羽織仕立人
,,,,はかま仕立職
,,,,法衣仕立職
,,,,和裁人
,,,,和裁部分縫工
,,,,和裁見習
,,,,和式下着縫製職
,,,,和服裁縫工
,,,衣服修理工,衣服修理人(男子洋服)
,,,,衣服修理人(婦人・子供服)
,,,,衣服修理人(和服)
,,,,衣服寸法直し人
,,,,掛矧(はぎ)人
,,,,着物修理人
,,,,子供服修理工
,,,,紳士ズボン直し人
,,,,紳士服修理工
,,,,紳士服寸法直し人
,,,,婦人服・子供服修理工
,,,,婦人服修理工
,,,,婦人服補正係
,,,,洋服修理職
,,,,洋服補修縫工
,,,,リフォーマー(衣服)
,,,,リフォーマー(男子服)
,,,,リフォーマー(婦人・子供服)
,,,,和服修理職
,,,布裁断工,延反工
,,,,型入れ工
,,,,カッティング工(布地裁断)
,,,,機械裁断工
,,,,生地裁断工
,,,,生地引伸工
,,,,生地庖(ほう)裁工
,,,,裁断師見習
,,,,裁断師(洋服製造)
,,,,シャーリング機運転工(布裁断)
,,,,シャーリング工(衣服製造)
,,,,男子服裁断師
,,,,手裁断工(布)
,,,,ニット生地裁断工
,,,,布地カッティング工
,,,,布地機械裁断工
,,,,布裁工
,,,,バイヤスカッター工(布地)
,,,,被服裁工
,,,,服地裁断工
,,,,婦人服裁断師
,,,,布帛裁断工
,,,,マーキング工(衣服製造)
,,,,メリヤス生地裁断工
,,,,洋服裁断師
,,,,レース裁断工(刺しゅうレース)
,,,ミシン縫製工(衣服),衣服ミシン縫製工
,,,,衣類ミシン縫工
,,,,学生服ミシン縫製工
,,,,既製服ミシン縫製工
,,,,クレープシャツ縫製工
,,,,子供服縫製工
,,,,子供服ミシン縫工
,,,,下着縫製工
,,,,シャツ縫製工
,,,,紳士服縫製工
,,,,紳士服ミシン縫製工
,,,,ズボン縫製ミシン工
,,,,制服仕立工
,,,,セーターかがり工
,,,,ソーイング作業員(衣服)
,,,,トレーナー縫製ミシン工
,,,,ニット縫製工
,,,,人形衣装ミシン縫製工
,,,,縫子(ミシン縫製)
,,,,被服縫製工
,,,,ファンデーション縫製工(補整下着)
,,,,婦人服・子供服縫製工
,,,,婦人服縫製工
,,,,婦人服ミシン縫工
,,,,ブラウス裁縫仕上職
,,,,ベビー服縫製工
,,,,縫製工(既製服)
